"","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"RERF-LC-Ad2",968,"RERFLCAD2","ccle;public","lung","carcinoma","adenocarcinoma","RERF-LC-Ad2","Lung","Lung adenocarcinoma","CVCL_1652","RERFLCAd2_1302_2019","lung","Cancer cell line",NA
"RERF-LC-MS",971,"RERFLCMS","ccle;public","lung","carcinoma","non_small_cell_carcinoma","RERF-LC-MS","Lung","Lung adenocarcinoma","CVCL_1655","RERFLCMS_1306_2019","lung","Cancer cell line",NA
"Rh18",973,"RH18","ccle;public","soft_tissue","rhabdomyosarcoma","alveolar","Rh18","Soft Tissue","Alveolar rhabdomyosarcoma","CVCL_1659","RH18_1311_2019","soft_tissue","Cancer cell line",NA
"Rh30",975,"RH30","ccle;public","soft_tissue","rhabdomyosarcoma","alveolar","Rh30","Soft Tissue","Alveolar rhabdomyosarcoma","CVCL_0041","RH30_1312_2019","soft_tissue","Cancer cell line",TRUE
"Rh41",976,"RH41","ccle;public","soft_tissue","rhabdomyosarcoma","alveolar","Rh41","Soft Tissue","Alveolar rhabdomyosarcoma","CVCL_2176","RH41_1313_2019","soft_tissue","Cancer cell line",NA
"Ri-1",977,"RI1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma","Ri-1","Lymphoid","Diffuse large B-cell lymphoma activated B-cell type","CVCL_1885","RI1_1314_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"RKN",978,"RKN","ccle;public","soft_tissue","leiomyosarcoma","","RKN","Soft Tissue","Ovarian leiomyosarcoma","CVCL_3156","RKN_1315_2019","soft_tissue","Cancer cell line",NA
"RKO",979,"RKO","ccle;public","large_intestine","carcinoma","adenocarcinoma","RKO","Bowel","Colon carcinoma","CVCL_0504","RKO_1316_2019","large_intestine","Cancer cell line",NA
"RL",980,"RL","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma","RL","Lymphoid","Diffuse large B-cell lymphoma","CVCL_1660","RL_1318_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"RL95-2",981,"RL952","ccle;public","endometrium","carcinoma","mixed_adenosquamous_carcinoma","RL95-2","Uterus","Endometrial adenosquamous carcinoma","CVCL_0505","RL952_1319_2019","endometrium","Cancer cell line",NA
"RMG-I",983,"RMGI","ccle;public","ovary","carcinoma","clear_cell_carcinoma","RMG-I","Ovary/Fallopian Tube","Ovarian clear cell adenocarcinoma","CVCL_1662","RMGI_1320_2019","ovary","Cancer cell line",TRUE
"RPMI-6666",990,"RPMI6666","public","","","","RPMI-6666","Lymphoid",NA,"CVCL_1665","RPMI6666_1325_2019","haematopoietic_and_lymphoid_tissue","Transformed cell line",NA
"RPMI-7951",991,"RPMI7951","ccle;public","skin","malignant_melanoma","","RPMI-7951","Skin","Melanoma","CVCL_1666","RPMI7951_1326_2019","skin","Cancer cell line",TRUE
"RPMI-8226",992,"RPMI8226","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","RPMI-8226","Lymphoid","Plasma cell myeloma","CVCL_0014","RPMI8226_1327_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"RPMI-8402",994,"RPMI8402","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","RPMI-8402","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_1667","RPMI8402_1328_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"RS4;11",995,"RS411","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","RS4;11","Lymphoid","Adult B acute lymphoblastic leukemia","CVCL_0093","RS4;11_1331_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"RT-112",997,"RT112","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","RT-112","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1670","RT112_1332_2019","urinary_tract","Cancer cell line",NA
"RT-4",999,"RT4","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","RT-4","Bladder/Urinary Tract","Bladder carcinoma","CVCL_0036","RT4_1334_2019","urinary_tract","Cancer cell line",NA
"RVH-421",1000,"RVH421","ccle;public","skin","malignant_melanoma","","RVH-421","Skin","Melanoma","CVCL_1672","RVH421_1335_2019","skin","Cancer cell line",TRUE
"SaOS-2",1004,"SAOS2","ccle;public","bone","osteosarcoma","","SaOS-2","Bone","Osteosarcoma","CVCL_0548","Saos2_1343_2019","bone","Cancer cell line",NA
"SBC-5",1005,"SBC5","ccle;public","lung","carcinoma","small_cell_carcinoma","SBC-5","Lung","Small cell lung carcinoma","CVCL_1679","SBC5_1349_2019","lung","Cancer cell line",TRUE
"SCaBER",1006,"SCABER","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","SCaBER","Bladder/Urinary Tract","Bladder squamous cell carcinoma","CVCL_3599","SCaBER_1351_2019","urinary_tract","Cancer cell line",NA
"SCC-25",1008,"SCC25","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SCC-25","Head and Neck","Tongue squamous cell carcinoma","CVCL_1682","SCC25_1353_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SCC-4",1009,"SCC4","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SCC-4","Head and Neck","Tongue squamous cell carcinoma","CVCL_1684","SCC4_1355_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SCC-9",1010,"SCC9","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SCC-9","Head and Neck","Tongue squamous cell carcinoma","CVCL_1685","SCC9_1356_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SCLC-21H",1011,"SCLC21H","ccle;public","lung","carcinoma","small_cell_carcinoma","SCLC-21H","Lung","Small cell lung carcinoma","CVCL_0024","SCLC21H_1361_2019","lung","Cancer cell line",TRUE
"SEM",1013,"SEM","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","SEM","Lymphoid","Childhood B acute lymphoblastic leukemia","CVCL_0095","SEM_1363_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SET-2",1014,"SET2","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","essential_thrombocythaemia","SET-2","Myeloid","Adult acute megakaryoblastic leukemia","CVCL_2187","Set2_1364_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SF126",1015,"SF126","ccle;public","central_nervous_system","glioma","astrocytoma","SF126","CNS/Brain","Glioblastoma","CVCL_1688","SF126_1366_2019","central_nervous_system","Cancer cell line",NA
"SF268",1017,"SF268","public","","","","SF268","CNS/Brain","Astrocytoma","CVCL_1689","SF268_1367_2019","central_nervous_system","Cancer cell line",NA
"SF295",1018,"SF295","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","SF295","CNS/Brain","Glioblastoma","CVCL_1690","SF295_1368_2019","central_nervous_system","Cancer cell line",NA
"SF539",1019,"SF539","public","","","","SF539","CNS/Brain","Gliosarcoma","CVCL_1691","SF539_1369_2019","central_nervous_system","Cancer cell line",NA
"SH-10-TC",1024,"SH10TC","ccle;public","stomach","carcinoma","","SH-10-TC","Esophagus/Stomach","Mucinous gastric adenocarcinoma","CVCL_5167","SH10TC_1372_2019","stomach","Cancer cell line",NA
"SH-4",1025,"SH4","ccle;public","skin","malignant_melanoma","","SH-4","Skin","Melanoma","CVCL_1692","SH4_1373_2019","skin","Cancer cell line",TRUE
"SHP-77",1026,"SHP77","ccle;public","lung","carcinoma","small_cell_carcinoma","SHP-77","Lung","Small cell lung carcinoma","CVCL_1693","SHP77_1375_2019","lung","Cancer cell line",NA
"SIG-M5",1028,"SIGM5","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","SIG-M5","Myeloid","Adult acute myeloid leukemia","CVCL_1694","SIGM5_1376_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SiMa",1030,"SIMA","ccle;public","autonomic_ganglia","neuroblastoma","","SiMa","Peripheral Nervous System","Adrenal gland neuroblastoma","CVCL_1695","SIMA_1378_2019","autonomic_ganglia","Cancer cell line",NA
"SJSA-1",1032,"SJSA1","ccle;public","bone","osteosarcoma","","SJSA-1","Bone","Osteosarcoma","CVCL_1697","SJSA1_1382_2019","bone","Cancer cell line",NA
"SK-BR-3",1033,"SKBR3","ccle;public","breast","carcinoma","","SK-BR-3","Breast","Breast adenocarcinoma","CVCL_0033","SKBR3_1383_2019","breast","Cancer cell line",TRUE
"SK-CO-1",1034,"SKCO1","ccle;public","large_intestine","carcinoma","adenocarcinoma","SK-CO-1","Bowel","Colon adenocarcinoma","CVCL_0626","SKCO1_1386_2019","large_intestine","Cancer cell line",TRUE
"SK-ES-1",1035,"SKES1","ccle;public","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor","","SK-ES-1","Bone","Ewing sarcoma","CVCL_0627","SKES1_1387_2019","bone","Cancer cell line",NA
"SK-HEP-1",1036,"SKHEP1","ccle;public","liver","carcinoma","adenocarcinoma","SK-HEP-1","Liver","Hepatocellular carcinoma","CVCL_0525","SKHEP1_1390_2019","liver","Cancer cell line",TRUE
"SK-LMS-1",1037,"SKLMS1","ccle;public","soft_tissue","sarcoma","","SK-LMS-1","Soft Tissue","Vulvar leiomyosarcoma","CVCL_0628","SKLMS1_1391_2019","soft_tissue","Cancer cell line",NA
"SK-LU-1",1038,"SKLU1","ccle;public","lung","carcinoma","adenocarcinoma","SK-LU-1","Lung","Lung adenocarcinoma","CVCL_0629","SKLU1_1392_2019","lung","Cancer cell line",NA
"SK-MEL-1",1040,"SKMEL1","ccle;public","skin","malignant_melanoma","","SK-MEL-1","Skin","Melanoma","CVCL_0068","SKMEL1_1393_2019","skin","Cancer cell line",TRUE
"SK-MEL-2",1041,"SKMEL2","ccle;public","skin","malignant_melanoma","","SK-MEL-2","Skin","Melanoma","CVCL_0069","SKMEL2_1394_2019","skin","Cancer cell line",TRUE
"SK-MEL-24",1042,"SKMEL24","ccle;public","skin","malignant_melanoma","","SK-MEL-24","Skin","Melanoma","CVCL_0599","SKMEL24_1395_2019","skin","Cancer cell line",TRUE
"SK-MEL-28",1043,"SKMEL28","ccle;public","skin","malignant_melanoma","","SK-MEL-28","Skin","Cutaneous melanoma","CVCL_0526","SKMEL28_1396_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SK-MEL-3",1044,"SKMEL3","ccle;public","skin","malignant_melanoma","","SK-MEL-3","Skin","Cutaneous melanoma","CVCL_0550","SKMEL3_1397_2019","skin","Cancer cell line",TRUE
"SK-MEL-30",1045,"SKMEL30","ccle;public","skin","malignant_melanoma","","SK-MEL-30","Skin","Cutaneous melanoma","CVCL_0039","SKMEL30_1398_2019","skin","Cancer cell line",NA
"SK-MEL-31",1046,"SKMEL31","ccle;public","skin","malignant_melanoma","","SK-MEL-31","Skin","Cutaneous melanoma","CVCL_0600","SKMEL31_1399_2019","skin","Cancer cell line",NA
"SK-MEL-5",1047,"SKMEL5","ccle;public","skin","malignant_melanoma","","SK-MEL-5","Skin","Cutaneous melanoma","CVCL_0527","SKMEL5_1400_2019","skin","Cancer cell line",TRUE
"SK-MES-1",1048,"SKMES1","ccle;public","lung","carcinoma","squamous_cell_carcinoma","SK-MES-1","Lung","Squamous cell lung carcinoma","CVCL_0630","SKMES1_1401_2019","lung","Cancer cell line",TRUE
"SK-MM-2",1050,"SKMM2","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","SK-MM-2","Lymphoid","Plasma cell myeloma","CVCL_1699","SKMM2_1403_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SK-N-AS",1051,"SKNAS","ccle;public","autonomic_ganglia","neuroblastoma","","SK-N-AS","Peripheral Nervous System","Neuroblastoma","CVCL_1700","SKNAS_1404_2019","autonomic_ganglia","Cancer cell line",TRUE
"SK-N-BE(2)",1052,"SKNBE2","ccle;public","autonomic_ganglia","neuroblastoma","","SK-N-BE(2)","Peripheral Nervous System","Neuroblastoma","CVCL_0528","SKNBE(2)_1405_2019","autonomic_ganglia","Cancer cell line",TRUE
"SK-N-DZ",1053,"SKNDZ","ccle;public","autonomic_ganglia","neuroblastoma","","SK-N-DZ","Peripheral Nervous System","Neuroblastoma","CVCL_1701","SKNDZ_1406_2019","autonomic_ganglia","Cancer cell line",TRUE
"SK-N-FI",1055,"SKNFI","ccle;public","autonomic_ganglia","neuroblastoma","","SK-N-FI","Peripheral Nervous System","Neuroblastoma","CVCL_1702","SKNFI_1407_2019","autonomic_ganglia","Cancer cell line",TRUE
"SK-N-MC",1056,"SKNMC","ccle;public","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor","","SK-N-MC","CNS/Brain","Askin tumor","CVCL_0530","SKNMC_1408_2019","bone","Cancer cell line",TRUE
"SK-N-SH",1058,"SKNSH","ccle;public","autonomic_ganglia","neuroblastoma","","SK-N-SH","Peripheral Nervous System","Neuroblastoma","CVCL_0531","SKNSH_1409_2019","autonomic_ganglia","Cancer cell line",TRUE
"SK-OV-3",1059,"SKOV3","ccle;public","ovary","carcinoma","adenocarcinoma","SK-OV-3","Ovary/Fallopian Tube","Ovarian serous cystadenocarcinoma","CVCL_0532","SKOV3_1411_2019","ovary","Cancer cell line",TRUE
"SK-UT-1",1063,"SKUT1","ccle;public","soft_tissue","leiomyosarcoma","","SK-UT-1","Uterus","Uterine corpus leiomyosarcoma","CVCL_0533","SKUT1_1415_2019","soft_tissue","Cancer cell line",NA
"SKM-1",1039,"SKM1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","SKM-1","Myeloid","Adult acute myeloid leukemia","CVCL_0098","SKM1_1418_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SNB-75",1073,"SNB75","public","","","","SNB-75","CNS/Brain","Glioblastoma","CVCL_1706","SNB75_1430_2019","central_nervous_system","Cancer cell line",NA
"SNG-M",1074,"SNGM","ccle;public","endometrium","carcinoma","adenocarcinoma","SNG-M","Uterus","Endometrial adenocarcinoma","CVCL_1707","SNGM_1431_2019","endometrium","Cancer cell line",TRUE
"SNU-1",1075,"SNU1","ccle;public","stomach","carcinoma","undifferentiated_adenocarcinoma","SNU-1","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_0099","NCISNU1_1152_2019","stomach","Cancer cell line",NA
"SNU-1033",1076,"SNU1033","ccle;public","large_intestine","carcinoma","","SNU-1033","Bowel","Rectal adenocarcinoma","CVCL_5002","SNU1033_1433_2019","large_intestine","Cancer cell line",NA
"SNU-1041",1078,"SNU1041","ccle;public","upper_aerodigestive_tract","carcinoma","","SNU-1041","Head and Neck","Hypopharyngeal squamous cell carcinoma","CVCL_L085","SNU1041_1435_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SNU-1066",1079,"SNU1066","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SNU-1066","Head and Neck","Laryngeal squamous cell carcinoma","CVCL_5005","SNU1066_1436_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SNU-1076",1080,"SNU1076","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SNU-1076","Head and Neck","Laryngeal squamous cell carcinoma","CVCL_5006","SNU1076_1437_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SNU-1077",1081,"SNU1077","ccle;public","endometrium","carcinoma","carcinosarcoma; malignant_mesodermal_mixed_tumor","SNU-1077","Uterus","Uterine carcinosarcoma","CVCL_5007","SNU1077_1438_2019","endometrium","Cancer cell line",NA
"SNU-1079",1082,"SNU1079","ccle;public","biliary_tract","carcinoma","","SNU-1079","Biliary Tract","Intrahepatic cholangiocarcinoma","CVCL_5008","SNU1079_1439_2019","biliary_tract","Cancer cell line",NA
"SNU-1105",1083,"SNU1105","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","SNU-1105","CNS/Brain","Glioblastoma","CVCL_5010","SNU1105_1440_2019","central_nervous_system","Cancer cell line",NA
"SNU-119",1084,"SNU119","ccle;public","ovary","carcinoma","adenocarcinoma","SNU-119","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_5014","SNU119_1441_2019","ovary","Cancer cell line",TRUE
"SNU-1196",1085,"SNU1196","ccle;public","biliary_tract","carcinoma","","SNU-1196","Biliary Tract","Hilar cholangiocarcinoma","CVCL_5015","SNU1196_1442_2019","biliary_tract","Cancer cell line",NA
"SNU-1214",1087,"SNU1214","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SNU-1214","Head and Neck","Laryngeal squamous cell carcinoma","CVCL_5017","SNU1214_1444_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SNU-1272",1088,"SNU1272","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","SNU-1272","Kidney","Clear cell renal cell carcinoma","CVCL_8788","SNU1272_1445_2019","kidney","Cancer cell line",NA
"SNU-16",1089,"SNU16","ccle;public","stomach","carcinoma","undifferentiated_adenocarcinoma","SNU-16","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_0076","NCISNU16_1153_2019","stomach","Cancer cell line",TRUE
"SNU-175",1090,"SNU175","ccle;public","large_intestine","carcinoma","","SNU-175","Bowel","Colon adenocarcinoma","CVCL_5031","SNU175_1447_2019","large_intestine","Cancer cell line",TRUE
"SNU-182",1091,"SNU182","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-182","Liver","Hepatocellular carcinoma","CVCL_0090","SNU182_1448_2019","liver","Cancer cell line",NA
"SNU-201",1092,"SNU201","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","SNU-201","CNS/Brain","Glioblastoma","CVCL_5033","SNU201_1449_2019","central_nervous_system","Cancer cell line",NA
"SNU-213",1093,"SNU213","ccle;public","pancreas","carcinoma","","SNU-213","Pancreas","Pancreatic adenocarcinoma","CVCL_5034","SNU213_1450_2019","pancreas","Cancer cell line",NA
"SNU-216",1094,"SNU216","ccle;public","stomach","carcinoma","","SNU-216","Esophagus/Stomach","Gastric tubular adenocarcinoma","CVCL_3946","SNU216_1451_2019","stomach","Cancer cell line",TRUE
"SNU-245",1095,"SNU245","ccle;public","biliary_tract","carcinoma","","SNU-245","Biliary Tract","Cholangiocarcinoma","CVCL_5038","SNU245_1452_2019","biliary_tract","Cancer cell line",NA
"SNU-308",1097,"SNU308","ccle;public","biliary_tract","carcinoma","","SNU-308","Biliary Tract","Gallbladder carcinoma","CVCL_5048","SNU308_1454_2019","biliary_tract","Cancer cell line",NA
"SNU-387",1100,"SNU387","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-387","Liver","Hepatocellular carcinoma","CVCL_0250","SNU387_1457_2019","liver","Cancer cell line",NA
"SNU-398",1101,"SNU398","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-398","Liver","Hepatocellular carcinoma","CVCL_0077","SNU398_1458_2019","liver","Cancer cell line",NA
"SNU-407",1102,"SNU407","ccle;public","large_intestine","carcinoma","","SNU-407","Bowel","Colon adenocarcinoma","CVCL_5058","SNU407_1459_2019","large_intestine","Cancer cell line",TRUE
"SNU-410",1103,"SNU410","ccle;public","pancreas","carcinoma","","SNU-410","Pancreas","Pancreatic adenocarcinoma","CVCL_5059","SNU410_1460_2019","pancreas","Cancer cell line",TRUE
"SNU-423",1104,"SNU423","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-423","Liver","Hepatocellular carcinoma","CVCL_0366","SNU423_1461_2019","liver","Cancer cell line",NA
"SNU-449",1105,"SNU449","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-449","Liver","Hepatocellular carcinoma","CVCL_0454","SNU449_1462_2019","liver","Cancer cell line",NA
"SNU-46",1106,"SNU46","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SNU-46","Head and Neck","Laryngeal squamous cell carcinoma","CVCL_5063","SNU46_1463_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SNU-466",1107,"SNU466","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","SNU-466","CNS/Brain","Glioblastoma","CVCL_5064","SNU466_1464_2019","central_nervous_system","Cancer cell line",NA
"SNU-475",1108,"SNU475","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-475","Liver","Hepatocellular carcinoma","CVCL_0497","SNU475_1465_2019","liver","Cancer cell line",NA
"SNU-478",1109,"SNU478","ccle;public","biliary_tract","carcinoma","","SNU-478","Ampulla of Vater","Ampulla of Vater adenocarcinoma","CVCL_5065","SNU478_1466_2019","pancreas","Cancer cell line",NA
"SNU-489",1110,"SNU489","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","SNU-489","CNS/Brain","Glioblastoma","CVCL_5069","SNU489_1468_2019","central_nervous_system","Cancer cell line",NA
"SNU-5",1111,"SNU5","ccle;public","stomach","carcinoma","undifferentiated_adenocarcinoma","SNU-5","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_0078","NCISNU5_1154_2019","stomach","Cancer cell line",TRUE
"SNU-503",1112,"SNU503","ccle;public","large_intestine","carcinoma","","SNU-503","Bowel","Rectal adenocarcinoma","CVCL_5071","SNU503_1470_2019","large_intestine","Cancer cell line",TRUE
"SNU-601",1114,"SNU601","ccle;public","stomach","carcinoma","","SNU-601","Esophagus/Stomach","Signet ring cell gastric adenocarcinoma","CVCL_0101","SNU601_1472_2019","stomach","Cancer cell line",TRUE
"SNU-61",1115,"SNU61","ccle;public","large_intestine","carcinoma","","SNU-61","Bowel","Rectal adenocarcinoma","CVCL_5078","SNU61_1473_2019","large_intestine","Cancer cell line",TRUE
"SNU-620",1116,"SNU620","ccle;public","stomach","carcinoma","","SNU-620","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_5079","SNU620_1474_2019","stomach","Cancer cell line",TRUE
"SNU-626",1117,"SNU626","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","SNU-626","CNS/Brain","Glioblastoma","CVCL_5080","SNU626_1475_2019","central_nervous_system","Cancer cell line",NA
"SNU-668",1118,"SNU668","ccle;public","stomach","carcinoma","signet_ring_adenocarcinoma","SNU-668","Esophagus/Stomach","Signet ring cell gastric adenocarcinoma","CVCL_5081","SNU668_1477_2019","stomach","Cancer cell line",TRUE
"SNU-685",1119,"SNU685","ccle;public","endometrium","carcinoma","carcinosarcoma; malignant_mesodermal_mixed_tumor","SNU-685","Uterus","Uterine carcinosarcoma","CVCL_5083","SNU685_1478_2019","endometrium","Cancer cell line",NA
"SNU-719",1120,"SNU719","ccle;public","stomach","carcinoma","","SNU-719","Esophagus/Stomach","Gastric tubular adenocarcinoma","CVCL_5086","SNU719_1479_2019","stomach","Cancer cell line",NA
"SNU-738",1121,"SNU738","ccle;public","central_nervous_system","glioma","oligodendroglioma","SNU-738","CNS/Brain","Oligodendroglioma","CVCL_5087","SNU738_1480_2019","central_nervous_system","Cancer cell line",NA
"SNU-761",1122,"SNU761","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-761","Liver","Hepatocellular carcinoma","CVCL_5089","SNU761_1481_2019","liver","Cancer cell line",NA
"SNU-8",1123,"SNU8","ccle;public","ovary","carcinoma","adenocarcinoma","SNU-8","Ovary/Fallopian Tube","Ovarian serous cystadenocarcinoma","CVCL_5096","SNU8_1482_2019","ovary","Cancer cell line",TRUE
"SNU-81",1124,"SNU81","ccle;public","large_intestine","carcinoma","","SNU-81","Bowel","Colon adenocarcinoma","CVCL_5098","SNU81_1483_2019","large_intestine","Cancer cell line",NA
"SNU-840",1125,"SNU840","ccle;public","ovary","carcinoma","Brenner_tumor","SNU-840","Ovary/Fallopian Tube","Malignant ovarian Brenner tumor","CVCL_5100","SNU840_1484_2019","ovary","Cancer cell line",NA
"SNU-869",1126,"SNU869","ccle;public","biliary_tract","carcinoma","","SNU-869","Ampulla of Vater","Ampulla of Vater adenocarcinoma","CVCL_5101","SNU869_1485_2019","pancreas","Cancer cell line",NA
"SNU-878",1127,"SNU878","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-878","Liver","Hepatocellular carcinoma","CVCL_5102","SNU878_1486_2019","liver","Cancer cell line",NA
"SNU-886",1128,"SNU886","ccle;public","liver","carcinoma","hepatocellular_carcinoma","SNU-886","Liver","Hepatocellular carcinoma","CVCL_5103","SNU886_1487_2019","liver","Cancer cell line",NA
"SNU-899",1129,"SNU899","ccle;public","upper_aerodigestive_tract","carcinoma","squamous_cell_carcinoma","SNU-899","Head and Neck","Laryngeal squamous cell carcinoma","CVCL_5105","SNU899_1488_2019","upper_aerodigestive_tract","Cancer cell line",NA
"SNU-C1",1130,"SNUC1","ccle;public","large_intestine","carcinoma","adenocarcinoma","SNU-C1","Bowel","Colon adenocarcinoma","CVCL_1708","SNUC1_1489_2019","large_intestine","Cancer cell line",TRUE
"SNU-C2A",1131,"SNUC2A","ccle;public","large_intestine","carcinoma","adenocarcinoma","SNU-C2A","Bowel","Cecum adenocarcinoma","CVCL_1709","SNUC2A_1490_2019","large_intestine","Cancer cell line",NA
"SNU-C4",1133,"SNUC4","ccle;public","large_intestine","carcinoma","adenocarcinoma","SNU-C4","Bowel","Colon adenocarcinoma","CVCL_5111","SNUC4_1492_2019","large_intestine","Cancer cell line",NA
"SNU-C5",1134,"SNUC5","ccle;public","large_intestine","carcinoma","adenocarcinoma","SNU-C5","Bowel","Cecum adenocarcinoma","CVCL_5112","SNUC5_1493_2019","large_intestine","Cancer cell line",NA
"Sq-1",1135,"SQ1","ccle;public","lung","carcinoma","squamous_cell_carcinoma","Sq-1","Lung","Squamous cell lung carcinoma","CVCL_4900","Sq1_1494_2019","lung","Cancer cell line",NA
"SR",1136,"SR786","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","anaplastic_large_cell_lymphoma","SR","Lymphoid","Anaplastic large cell lymphoma","CVCL_1711","SR_1495_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"ST486",1137,"ST486","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Burkitt_lymphoma","ST486","Lymphoid","Burkitt lymphoma","CVCL_1712","ST486_1497_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SU-DHL-1",1139,"SUDHL1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","anaplastic_large_cell_lymphoma","SU-DHL-1","Lymphoid","Anaplastic large cell lymphoma","CVCL_0538","SUDHL1_1499_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SU-DHL-10",1140,"SUDHL10","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma","SU-DHL-10","Lymphoid","Diffuse large B-cell lymphoma","CVCL_1889","SUDHL10_1500_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"SU-DHL-4",1141,"SUDHL4","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma","SU-DHL-4","Lymphoid","Diffuse large B-cell lymphoma germinal center B-cell type","CVCL_0539","SUDHL4_1502_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
